ip		px:		py:		pz:
385		8.58091		14.353		1.65442
386		9.73533		14.353		1.65442
387		10.8897		14.353		1.65442
388		12.0442		14.353		1.65442
389		13.1986		14.353		1.65442
390		14.353		14.353		1.65442
391		15.5074		14.353		1.65442
392		0.5		15.5074		1.65442
393		1.65442		15.5074		1.65442
394		2.80883		15.5074		1.65442
395		3.96325		15.5074		1.65442
396		5.11766		15.5074		1.65442
397		6.27208		15.5074		1.65442
398		7.42649		15.5074		1.65442
399		8.58091		15.5074		1.65442
400		9.73533		15.5074		1.65442
401		10.8897		15.5074		1.65442
402		12.0442		15.5074		1.65442
403		13.1986		15.5074		1.65442
404		14.353		15.5074		1.65442
405		15.5074		15.5074		1.65442
406		0.5		16.6618		1.65442
407		1.65442		16.6618		1.65442
408		2.80883		16.6618		1.65442
409		3.96325		16.6618		1.65442
410		5.11766		16.6618		1.65442
411		6.27208		16.6618		1.65442
412		7.42649		16.6618		1.65442
413		8.58091		16.6618		1.65442
414		9.73533		16.6618		1.65442
415		10.8897		16.6618		1.65442
416		12.0442		16.6618		1.65442
417		13.1986		16.6618		1.65442
418		14.353		16.6618		1.65442
419		15.5074		16.6618		1.65442
420		0.5		0.5		2.80883
421		1.65442		0.5		2.80883
422		2.80883		0.5		2.80883
423		3.96325		0.5		2.80883
424		5.11766		0.5		2.80883
425		6.27208		0.5		2.80883
426		7.42649		0.5		2.80883
427		8.58091		0.5		2.80883
428		9.73533		0.5		2.80883
429		10.8897		0.5		2.80883
430		12.0442		0.5		2.80883
431		13.1986		0.5		2.80883
432		14.353		0.5		2.80883
433		15.5074		0.5		2.80883
434		0.5		1.65442		2.80883
435		1.65442		1.65442		2.80883
436		2.80883		1.65442		2.80883
437		3.96325		1.65442		2.80883
438		5.11766		1.65442		2.80883
439		6.27208		1.65442		2.80883
440		7.42649		1.65442		2.80883
441		8.58091		1.65442		2.80883
442		9.73533		1.65442		2.80883
443		10.8897		1.65442		2.80883
444		12.0442		1.65442		2.80883
445		13.1986		1.65442		2.80883
446		14.353		1.65442		2.80883
447		15.5074		1.65442		2.80883
448		0.5		2.80883		2.80883
449		1.65442		2.80883		2.80883
450		2.80883		2.80883		2.80883
451		3.96325		2.80883		2.80883
452		5.11766		2.80883		2.80883
453		6.27208		2.80883		2.80883
454		7.42649		2.80883		2.80883
455		8.58091		2.80883		2.80883
456		9.73533		2.80883		2.80883
457		10.8897		2.80883		2.80883
458		12.0442		2.80883		2.80883
459		13.1986		2.80883		2.80883
460		14.353		2.80883		2.80883
461		15.5074		2.80883		2.80883
462		0.5		3.96325		2.80883
463		1.65442		3.96325		2.80883
464		2.80883		3.96325		2.80883
465		3.96325		3.96325		2.80883
466		5.11766		3.96325		2.80883
467		6.27208		3.96325		2.80883
468		7.42649		3.96325		2.80883
469		8.58091		3.96325		2.80883
470		9.73533		3.96325		2.80883
471		10.8897		3.96325		2.80883
472		12.0442		3.96325		2.80883
473		13.1986		3.96325		2.80883
474		14.353		3.96325		2.80883
475		15.5074		3.96325		2.80883
476		0.5		5.11766		2.80883
477		1.65442		5.11766		2.80883
478		2.80883		5.11766		2.80883
479		3.96325		5.11766		2.80883
480		5.11766		5.11766		2.80883
481		6.27208		5.11766		2.80883
482		7.42649		5.11766		2.80883
483		8.58091		5.11766		2.80883
484		9.73533		5.11766		2.80883
485		10.8897		5.11766		2.80883
486		12.0442		5.11766		2.80883
487		13.1986		5.11766		2.80883
488		14.353		5.11766		2.80883
489		15.5074		5.11766		2.80883
490		0.5		6.27208		2.80883
491		1.65442		6.27208		2.80883
492		2.80883		6.27208		2.80883
493		3.96325		6.27208		2.80883
494		5.11766		6.27208		2.80883
495		6.27208		6.27208		2.80883
496		7.42649		6.27208		2.80883
497		8.58091		6.27208		2.80883
498		9.73533		6.27208		2.80883
499		10.8897		6.27208		2.80883
500		12.0442		6.27208		2.80883
501		13.1986		6.27208		2.80883
502		14.353		6.27208		2.80883
503		15.5074		6.27208		2.80883
504		0.5		7.42649		2.80883
505		1.65442		7.42649		2.80883
506		2.80883		7.42649		2.80883
507		3.96325		7.42649		2.80883
508		5.11766		7.42649		2.80883
509		6.27208		7.42649		2.80883
510		7.42649		7.42649		2.80883
511		8.58091		7.42649		2.80883
512		9.73533		7.42649		2.80883
513		10.8897		7.42649		2.80883
514		12.0442		7.42649		2.80883
515		13.1986		7.42649		2.80883
516		14.353		7.42649		2.80883
517		15.5074		7.42649		2.80883
518		0.5		8.58091		2.80883
519		1.65442		8.58091		2.80883
520		2.80883		8.58091		2.80883
521		3.96325		8.58091		2.80883
